lon,lat,场站名称,充电车位数
113.91799408089784,22.766900819840743,MA5DT8Q54,4
113.91390645078941,22.758373997423377,MA5DT8Q54,4
113.92036030271811,22.765859799198367,MA5DT8Q54,4
113.90560818322206,22.765744401030393,MA5DT8Q54,21
113.91088862233359,22.757156460062877,MA5DT8Q54,4
114.0147665069971,22.541611539540646,MA01H3BQ1,9
114.01387852593108,22.542966015174862,MA01H3BQ1,6
114.1991526672767,22.70688318010528,MA5DT8Q54,4
114.20231438008153,22.712394351060716,MA01H3BQ1,18
113.82485217643284,22.647943594662486,MA5DT8Q54,22
113.82485217643284,22.647943594662486,MA5DT8Q54,24
113.82368690487424,22.650020982914654,MA5DT8Q54,15
114.30998148882999,22.600462927891332,MA5DT8Q54,4
114.30897991087052,22.600552756390314,MA5DT8Q54,4
114.30892091491802,22.6018026896443,MA5DT8Q54,5
114.30998148882999,22.600462927891332,MA5DT8Q54,4
114.11447438597665,22.678213705328655,MA5DT8Q54,37
114.2458233205443,22.70782301345413,MA5DT8Q54,26
114.26418586658271,22.710782308415258,MA5DT8Q54,80
114.26514045524407,22.714448625612825,MA01H3BQ1,11
113.89945744008368,22.513363731536785,MA5DT8Q54,4
113.90526580791305,22.517421244757365,MA5DT8Q54,4
114.04626537063584,22.59403170076111,MA5DT8Q54,195
114.05204301338303,22.605118170873617,MA5DT8Q54,4
114.04532169106066,22.594866507902957,MA5DT8Q54,10
114.03880263244635,22.602273602226997,MA5DT8Q54,4
114.03880263179568,22.602283600817525,MA5DT8Q54,4
114.04630858193904,22.605166080055746,MA5DT8Q54,4
114.04807851840818,22.598780475722897,MA01H3BQ1,9
114.03760395586725,22.61396061839122,MA01H3BQ1,14
114.0404198018972,22.60377575311065,MA01H3BQ1,19
114.03867272783737,22.604239618206925,MA01H3BQ1,7
114.04211725038577,22.600487495733994,MA01H3BQ1,5
113.87120123236589,22.558108672403225,MA01H3BQ1,28
113.90271223664071,22.511324194172122,MA5DT8Q54,4
113.92264911247239,22.515474113173045,MA5DT8Q54,4
113.90181968133726,22.51367134625138,MA5DT8Q54,27
113.91231333413543,22.509268740262367,MA5DT8Q54,4
113.91602229367695,22.503126982556484,MA01H3BQ1,6
113.92074006753889,22.514698244790154,MA01H3BQ1,42
113.934080552585,22.50924031577353,MA01H3BQ1,9
113.91529208022381,22.508677510619478,MA01H3BQ1,23
114.1854938287747,22.56074281787392,MA5DT8Q54,4
114.1854938287747,22.56074281787392,MA5DT8Q54,4
114.1854938287747,22.56074281787392,MA5DT8Q54,16
114.1854938287747,22.56074281787392,MA5DT8Q54,11
114.18549281822412,22.560867805125863,MA5DT8Q54,4
114.1854927850002,22.561387759205687,MA5DT8Q54,4
114.17191149666937,22.568035282978784,MA5DT8Q54,21
114.17380262311205,22.56753287937905,MA01H3BQ1,6
114.23407888198544,22.561371032144304,MA5DT8Q54,11
114.23416507615873,22.55975520884096,MA5DT8Q54,4
114.0348553564023,22.66864177955404,MA5DT8Q54,4
114.03128083370271,22.674083333698857,MA5DT8Q54,4
114.02449801113787,22.67146654102647,MA5DT8Q54,17
114.24481764321828,22.56689177253815,MA5DT8Q54,22
114.24325266270944,22.566117789642462,MA5DT8Q54,11
114.24992196622486,22.572010803602577,MA5DT8Q54,4
114.2416254779207,22.566213623109157,MA5DT8Q54,11
114.24528464976156,22.571335332954316,MA5DT8Q54,35
114.24838434387048,22.571055143987614,MA5DT8Q54,16
114.10888847783019,22.575884913515218,MA5DT8Q54,5
114.11284010316565,22.657430898382092,MA5DT8Q54,6
114.40478546173661,22.615685339150932,MA5DT8Q54,4
114.03925937839247,22.74716284008418,MA5DT8Q54,14
114.02439236748815,22.76139637443829,MA5DT8Q54,12
114.03292243900192,22.768949982474965,MA5CTTPE8,4
114.03170280622707,22.76887302810635,MA5CTTPE8,4
113.99030282996355,22.551639145906574,MA5DT8Q54,20
114.00101354931941,22.53793253546841,MA5DT8Q54,4
113.99239229833168,22.53974561295675,MA5DT8Q54,4
113.99402342906203,22.551060889354698,MA01H3BQ1,19
114.0054985244746,22.549935238901952,MA01H3BQ1,6
114.06177722703477,22.530943857962768,MA5DT8Q54,5
114.06177722703477,22.530943857962768,MA5DT8Q54,4
114.06614015088374,22.533298082764787,MA5DT8Q54,4
113.80150547687622,22.746843922009916,MA5DT8Q54,4
113.83049430380447,22.741848871179506,MA5DT8Q54,24
113.83649538620476,22.7395676289444,MA5DT8Q54,4
113.83243845390312,22.742519292730343,MA5DT8Q54,18
113.83553474523754,22.741293365097846,MA5DT8Q54,4
113.80834108745246,22.743262044752814,MA5DT8Q54,19
113.80454523046816,22.760478992540968,MA5DT8Q54,4
113.97080984178325,22.558416922093848,MA5DT8Q54,4
113.97335147934093,22.566181052761625,MA01H3BQ1,4
113.94624156179381,22.560100804236637,MA01H3BQ1,11
113.97766804837602,22.553598702832097,MA01H3BQ1,8
113.97398590790999,22.567548113092055,MA01H3BQ1,20
114.3892805899324,22.75606397233238,MA5DT8Q54,120
114.43116215082237,22.781499008441386,MA5CTTPE8,20
114.17006451837426,22.64579942165015,MA5DT8Q54,8
114.17187267793187,22.64159863215581,MA5DT8Q54,4
114.16960930426873,22.64550561982095,MA5DT8Q54,5
114.18345263813094,22.653695575920253,MA01H3BQ1,14
113.86444296844255,22.78384171117704,MA5DT8Q54,4
113.8685199532209,22.78376253809104,MA5DT8Q54,4
113.86578225836739,22.727309867489087,MA5DT8Q54,4
114.00902282122442,22.534328735191938,MA5DT8Q54,9
113.91278592655084,22.72080590979977,MA5DT8Q54,31
